All extracted points:
[259, 475]
[260, 475]
[261, 475]
[262, 475]
[263, 475]
[264, 475]
[265, 475]
[225, 476]
[226, 476]
[227, 476]
[228, 476]
[229, 476]
[230, 476]
[231, 476]
[232, 476]
[233, 476]
[234, 476]
[235, 476]
[236, 476]
[237, 476]
[238, 476]
[239, 476]
[240, 476]
[241, 476]
[242, 476]
[243, 476]
[244, 476]
[245, 476]
[246, 476]
[247, 476]
[248, 476]
[249, 476]
[250, 476]
[251, 476]
[252, 476]
[253, 476]
[254, 476]
[255, 476]
[256, 476]
[257, 476]
[258, 476]
[146, 477]
[147, 477]
[148, 477]
[149, 477]
[150, 477]
[151, 477]
[152, 477]
[153, 477]
[154, 477]
[155, 477]
[156, 477]
[157, 477]
[158, 477]
[159, 477]
[160, 477]
[161, 477]
[162, 477]
[163, 477]
[164, 477]
[165, 477]
[166, 477]
[167, 477]
[168, 477]
[169, 477]
[170, 477]
[171, 477]
[172, 477]
[173, 477]
[174, 477]
[175, 477]
[176, 477]
[177, 477]
[178, 477]
[179, 477]
[180, 477]
[181, 477]
[182, 477]
[183, 477]
[184, 477]
[185, 477]
[186, 477]
[187, 477]
[188, 477]
[189, 477]
[190, 477]
[191, 477]
[192, 477]
[193, 477]
[194, 477]
[195, 477]
[196, 477]
[197, 477]
[198, 477]
[199, 477]
[200, 477]
[201, 477]
[202, 477]
[203, 477]
[204, 477]
[205, 477]
[206, 477]
[207, 477]
[208, 477]
[209, 477]
[210, 477]
[211, 477]
[212, 477]
[213, 477]
[214, 477]
[215, 477]
[216, 477]
[217, 477]
[218, 477]
[219, 477]
[220, 477]
[221, 477]
[222, 477]
[223, 477]
[224, 477]
[125, 478]
[126, 478]
[127, 478]
[128, 478]
[129, 478]
[130, 478]
[131, 478]
[132, 478]
[133, 478]
[134, 478]
[135, 478]
[136, 478]
[137, 478]
[138, 478]
[139, 478]
[140, 478]
[141, 478]
[142, 478]
[143, 478]
[144, 478]
[145, 478]
[108, 479]
[109, 479]
[110, 479]
[111, 479]
[112, 479]
[113, 479]
[114, 479]
[115, 479]
[118, 479]
[119, 479]
[120, 479]
[121, 479]
[122, 479]
[123, 479]
[124, 479]
[100, 480]
[101, 480]
[102, 480]
[103, 480]
[104, 480]
[105, 480]
[106, 480]
[107, 480]
[116, 480]
[117, 480]
[93, 481]
[94, 481]
[95, 481]
[96, 481]
[97, 481]
[98, 481]
[99, 481]
[71, 482]
[72, 482]
[73, 482]
[74, 482]
[75, 482]
[76, 482]
[77, 482]
[78, 482]
[79, 482]
[80, 482]
[81, 482]
[82, 482]
[83, 482]
[84, 482]
[85, 482]
[86, 482]
[87, 482]
[88, 482]
[89, 482]
[90, 482]
[91, 482]
[92, 482]
[9, 483]
[10, 483]
[11, 483]
[12, 483]
[13, 483]
[14, 483]
[15, 483]
[16, 483]
[17, 483]
[18, 483]
[19, 483]
[20, 483]
[37, 483]
[38, 483]
[39, 483]
[40, 483]
[41, 483]
[42, 483]
[43, 483]
[44, 483]
[45, 483]
[46, 483]
[47, 483]
[48, 483]
[49, 483]
[50, 483]
[51, 483]
[52, 483]
[53, 483]
[54, 483]
[55, 483]
[56, 483]
[57, 483]
[58, 483]
[59, 483]
[60, 483]
[61, 483]
[62, 483]
[63, 483]
[64, 483]
[65, 483]
[66, 483]
[67, 483]
[68, 483]
[69, 483]
[70, 483]
[71, 483]
[4, 484]
[5, 484]
[6, 484]
[7, 484]
[8, 484]
[21, 484]
[22, 484]
[23, 484]
[24, 484]
[25, 484]
[26, 484]
[27, 484]
[28, 484]
[29, 484]
[30, 484]
[31, 484]
[32, 484]
[33, 484]
[34, 484]
[35, 484]
[36, 484]
