Sorted points after _sort_to_direction:
[5, 484]
[7, 484]
[9, 483]
[11, 483]
[13, 483]
[15, 483]
[17, 483]
[19, 483]
[21, 484]
[23, 484]
[25, 484]
[27, 484]
[29, 484]
[31, 484]
[33, 484]
[35, 484]
[37, 483]
[39, 483]
[41, 483]
[43, 483]
[45, 483]
[47, 483]
[49, 483]
[51, 483]
[53, 483]
[55, 483]
[57, 483]
[59, 483]
[61, 483]
[63, 483]
[65, 483]
[67, 483]
[69, 483]
[71, 482]
[73, 482]
[75, 482]
[77, 482]
[79, 482]
[81, 482]
[83, 482]
[85, 482]
[87, 482]
[89, 482]
[91, 482]
[93, 481]
[95, 481]
[97, 481]
[99, 481]
[101, 480]
[103, 480]
[105, 480]
[107, 480]
[109, 479]
[111, 479]
[113, 479]
[115, 479]
[117, 480]
[119, 479]
[121, 479]
[123, 479]
[125, 478]
[127, 478]
[129, 478]
[131, 478]
[133, 478]
[135, 478]
[137, 478]
[139, 478]
[141, 478]
[143, 478]
[145, 478]
[147, 477]
[149, 477]
[151, 477]
[153, 477]
[155, 477]
[157, 477]
[159, 477]
[161, 477]
[163, 477]
[165, 477]
[167, 477]
[169, 477]
[171, 477]
[173, 477]
[175, 477]
[177, 477]
[179, 477]
[181, 477]
[183, 477]
[185, 477]
[187, 477]
[189, 477]
[191, 477]
[193, 477]
[195, 477]
[197, 477]
[199, 477]
[201, 477]
[203, 477]
[205, 477]
[207, 477]
[209, 477]
[211, 477]
[213, 477]
[215, 477]
[217, 477]
[219, 477]
[221, 477]
[223, 477]
[225, 476]
[227, 476]
[229, 476]
[231, 476]
[233, 476]
[235, 476]
[237, 476]
[239, 476]
[241, 476]
[243, 476]
[245, 476]
[247, 476]
[249, 476]
[251, 476]
[253, 476]
[255, 476]
[257, 476]
[259, 475]
[261, 475]
[263, 475]
[265, 475]
